"","V1","FFL","No_FFL","ID_A_N","ID_A_P","ID_D_N","ID_D_N.1","II_A_N","II_A_P","II_D_N","II_D_N.1"
"136","ileU",1,0,0,0.5,0,0.333333333333333,0,0,0.166666666666667,0
"137","leuW",1,0,0,1,0,0,0,0,0,0
"138","lpxD",1,0,0,0,0,0,0,1,0,0
"139","lysQ",0,1,0,0,0,0,0,0,0,0
"140","lysT",1,0,0,1,0,0,0,0,0,0
"141","lysW",1,0,0,1,0,0,0,0,0,0
"142","lysY",0,1,0,0,0,0,0,0,0,0
"143","lysZ",0,1,0,0,0,0,0,0,0,0
"144","malE",1,0,0,0.636363636363636,0,0,0,0.181818181818182,0.181818181818182,0
"145","metT",1,0,0,0.5,0,0,0,0,0.5,0
"146","metU",1,0,0,1,0,0,0,0,0,0
"147","nuoA",1,0,0.125,0.125,0,0.0625,0.1875,0,0.375,0.125
"148","nuoB",1,0,0.142857142857143,0.142857142857143,0,0.0714285714285714,0.214285714285714,0,0.285714285714286,0.142857142857143
"149","nuoG",1,0,0.142857142857143,0.142857142857143,0,0.0714285714285714,0.214285714285714,0,0.285714285714286,0.142857142857143
"150","nuoI",1,0,0.142857142857143,0.142857142857143,0,0.0714285714285714,0.214285714285714,0,0.285714285714286,0.142857142857143
"151","nuoL",1,0,0.142857142857143,0.142857142857143,0,0.0714285714285714,0.214285714285714,0,0.285714285714286,0.142857142857143
"152","oppA",1,0,0,0,0.25,0.25,0.25,0,0,0.25
"153","oppC",1,0,0.4,0,0,0,0.6,0,0,0
"154","pepQ",0,1,0,0,0,0,0,0,0,0
"155","potC",0,1,0,0,0,0,0,0,0,0
"156","potD",0,1,0,0,0,0,0,0,0,0
"157","pssA",0,1,0,0,0,0,0,0,0,0
"158","rfaD",1,0,0,1,0,0,0,0,0,0
"159","ribE",1,0,0,0.666666666666667,0,0,0,0,0.333333333333333,0
"160","serT",1,0,0,1,0,0,0,0,0,0
"161","tap",0,1,0,0,0,0,0,0,0,0
"162","tar",0,1,0,0,0,0,0,0,0,0
"163","thrV",1,0,0,0.5,0,0.333333333333333,0,0,0.166666666666667,0
"164","tsr",1,0,0,0.5,0,0,0,0,0.5,0
"165","tyrT",1,0,0,1,0,0,0,0,0,0
"166","tyrV",1,0,0,1,0,0,0,0,0,0
"167","yfdH",0,1,0,0,0,0,0,0,0,0
"168","pyrL",0,1,0,0,0,0,0,0,0,0
"169","yfaZ",0,1,0,0,0,0,0,0,0,0
"170","ampD",0,1,0,0,0,0,0,0,0,0
"171","cueR",0,1,0,0,0,0,0,0,0,0
"172","intR",0,1,0,0,0,0,0,0,0,0
"173","priC",0,1,0,0,0,0,0,0,0,0
"174","seqA",0,1,0,0,0,0,0,0,0,0
"175","yajG",0,1,0,0,0,0,0,0,0,0
"176","ytfP",0,1,0,0,0,0,0,0,0,0
